user,image_a,image_b,filter_a,filter_b,intensity_a,intensity_b,selected_filter,selected_intensity,resptime
yes,Girl1_Clarendon_50.jpg,Girl1_Juno_75.jpg,Clarendon,Juno,50,75,Clarendon,50,0.712787
yes,Ocean_Lark_100.jpg,Ocean_Juno_50.jpg,Lark,Juno,100,50,Juno,50,0.514113
yes,Ocean_Clarendon_25.jpg,Ocean_Clarendon_75.jpg,Clarendon,Clarendon,25,75,Clarendon,75,0.413671
yes,Girl1_Lark_100.jpg,Girl1_Juno_75.jpg,Lark,Juno,100,75,Lark,100,0.562144
yes,Ocean_Lark_100.jpg,Ocean_Clarendon_100.jpg,Lark,Clarendon,100,100,Clarendon,100,0.33506
yes,Ocean_Juno_25.jpg,Ocean_Lark_50.jpg,Juno,Lark,25,50,Juno,25,0.500027
yes,Girl1_Lark_25.jpg,Girl1_Clarendon_25.jpg,Lark,Clarendon,25,25,Clarendon,25,0.529044
yes,Girl1_Clarendon_25.jpg,Girl1_Clarendon_50.jpg,Clarendon,Clarendon,25,50,Clarendon,50,0.594732
yes,Ocean_Lark_100.jpg,Ocean_Juno_100.jpg,Lark,Juno,100,100,Juno,100,0.478641
yes,Ocean_Clarendon_75.jpg,Ocean_Juno_100.jpg,Clarendon,Juno,75,100,Clarendon,75,0.580351
yes,Girl1_Lark_50.jpg,Girl1_Juno_100.jpg,Lark,Juno,50,100,Juno,100,0.356728
yes,Girl1_Lark_50.jpg,Girl1_Juno_50.jpg,Lark,Juno,50,50,Juno,50,0.353963
yes,Ocean_Lark_50.jpg,Ocean_Clarendon_100.jpg,Lark,Clarendon,50,100,Clarendon,100,0.415726
yes,Ocean_Clarendon_25.jpg,Ocean_Lark_100.jpg,Clarendon,Lark,25,100,Clarendon,25,0.419982
yes,Girl1_Clarendon_50.jpg,Girl1_Clarendon_75.jpg,Clarendon,Clarendon,50,75,Clarendon,75,0.410173
yes,Girl1_Juno_25.jpg,Girl1_Lark_25.jpg,Juno,Lark,25,25,Juno,25,0.396771
yes,Girl1_Juno_50.jpg,Girl1_Juno_75.jpg,Juno,Juno,50,75,Juno,75,0.358084
yes,Girl1_Clarendon_50.jpg,Girl1_Juno_25.jpg,Clarendon,Juno,50,25,Clarendon,50,0.422122
yes,Ocean_Clarendon_25.jpg,Ocean_OG.jpg,Clarendon,OG,25,0,OG,0,0.404991
yes,Girl1_Clarendon_25.jpg,Girl1_Juno_100.jpg,Clarendon,Juno,25,100,Clarendon,25,0.384263
yes,Ocean_Lark_75.jpg,Ocean_Lark_100.jpg,Lark,Lark,75,100,Lark,100,0.372549
yes,Girl1_Juno_100.jpg,Girl1_Lark_75.jpg,Juno,Lark,100,75,Juno,100,0.418178
yes,Girl1_Lark_50.jpg,Girl1_Lark_100.jpg,Lark,Lark,50,100,Lark,100,0.386702
yes,Girl1_Clarendon_25.jpg,Girl1_Juno_75.jpg,Clarendon,Juno,25,75,Juno,75,0.440751
yes,Ocean_Lark_25.jpg,Ocean_Clarendon_50.jpg,Lark,Clarendon,25,50,Clarendon,50,0.408681
yes,Ocean_Clarendon_25.jpg,Ocean_Lark_50.jpg,Clarendon,Lark,25,50,Clarendon,25,0.406925
yes,Ocean_Lark_50.jpg,Ocean_Juno_100.jpg,Lark,Juno,50,100,Juno,100,0.451489
yes,Ocean_Juno_75.jpg,Ocean_Clarendon_100.jpg,Juno,Clarendon,75,100,Clarendon,100,0.743318
yes,Girl1_Juno_50.jpg,Girl1_Juno_25.jpg,Juno,Juno,50,25,Juno,50,0.491738
yes,Girl1_Clarendon_75.jpg,Girl1_Clarendon_25.jpg,Clarendon,Clarendon,75,25,Clarendon,25,0.368269
yes,Ocean_OG.jpg,Ocean_Lark_100.jpg,OG,Lark,0,100,Lark,100,0.477154
yes,Ocean_Lark_25.jpg,Ocean_Juno_75.jpg,Lark,Juno,25,75,Juno,75,0.412611
yes,Ocean_Lark_75.jpg,Ocean_Clarendon_100.jpg,Lark,Clarendon,75,100,Clarendon,100,0.480794
yes,Girl1_Clarendon_50.jpg,Girl1_Juno_100.jpg,Clarendon,Juno,50,100,Juno,100,0.668652
yes,Ocean_Clarendon_75.jpg,Ocean_Juno_50.jpg,Clarendon,Juno,75,50,Clarendon,75,0.372848
yes,Ocean_Juno_50.jpg,Ocean_Lark_25.jpg,Juno,Lark,50,25,Lark,25,0.37239
yes,Ocean_Lark_100.jpg,Ocean_Clarendon_50.jpg,Lark,Clarendon,100,50,Lark,100,0.455738
yes,Girl1_Lark_75.jpg,Girl1_Lark_25.jpg,Lark,Lark,75,25,Lark,25,0.380068
