user,image_a,image_b,filter_a,filter_b,intensity_a,intensity_b,selected_filter,selected_intensity,resptime
yes,Girl1_OG.jpg,Girl1_Clarendon_100.jpg,OG,Clarendon,0,100,OG,0,1.757233
yes,Girl1_Juno_25.jpg,Girl1_Juno_100.jpg,Juno,Juno,25,100,Juno,25,1.120225
yes,Girl1_OG.jpg,Girl1_Juno_100.jpg,OG,Juno,0,100,OG,0,1.598144
yes,Ocean_Juno_50.jpg,Ocean_Lark_75.jpg,Juno,Lark,50,75,Lark,75,1.97689
yes,Ocean_Lark_50.jpg,Ocean_Juno_75.jpg,Lark,Juno,50,75,Juno,75,1.943311
yes,Girl1_Lark_100.jpg,Girl1_Juno_100.jpg,Lark,Juno,100,100,Juno,100,1.344288
yes,Girl1_Juno_50.jpg,Girl1_Lark_100.jpg,Juno,Lark,50,100,Juno,50,0.886285
yes,Ocean_Clarendon_75.jpg,Ocean_Lark_25.jpg,Clarendon,Lark,75,25,Lark,25,1.394243
yes,Ocean_Clarendon_50.jpg,Ocean_Lark_75.jpg,Clarendon,Lark,50,75,Clarendon,50,1.016957
yes,Girl1_Juno_25.jpg,Girl1_Juno_75.jpg,Juno,Juno,25,75,Juno,25,1.787174
yes,Girl1_Juno_25.jpg,Girl1_Clarendon_75.jpg,Juno,Clarendon,25,75,Juno,25,4.122583
yes,Girl1_Juno_50.jpg,Girl1_Clarendon_75.jpg,Juno,Clarendon,50,75,Clarendon,75,1.42116
yes,Ocean_Clarendon_50.jpg,Ocean_Clarendon_25.jpg,Clarendon,Clarendon,50,25,Clarendon,25,1.147078
yes,Girl1_Clarendon_100.jpg,Girl1_Juno_100.jpg,Clarendon,Juno,100,100,Clarendon,100,1.49769
yes,Girl1_OG.jpg,Girl1_Juno_25.jpg,OG,Juno,0,25,OG,0,1.92017
yes,Girl1_Juno_75.jpg,Girl1_OG.jpg,Juno,OG,75,0,OG,0,2.455981
yes,Ocean_Lark_25.jpg,Ocean_Lark_50.jpg,Lark,Lark,25,50,Lark,50,4.800615
yes,Girl1_Clarendon_50.jpg,Girl1_Juno_75.jpg,Clarendon,Juno,50,75,Clarendon,50,1.584534
yes,Ocean_Lark_100.jpg,Ocean_Juno_50.jpg,Lark,Juno,100,50,Juno,50,1.885069
yes,Ocean_Clarendon_25.jpg,Ocean_Clarendon_75.jpg,Clarendon,Clarendon,25,75,Clarendon,75,5.274335
yes,Girl1_Lark_100.jpg,Girl1_Juno_75.jpg,Lark,Juno,100,75,Juno,75,14.724782
yes,Ocean_Lark_100.jpg,Ocean_Clarendon_100.jpg,Lark,Clarendon,100,100,Clarendon,100,0.976514
yes,Ocean_Juno_25.jpg,Ocean_Lark_50.jpg,Juno,Lark,25,50,Juno,25,2.137202
yes,Girl1_Lark_25.jpg,Girl1_Clarendon_25.jpg,Lark,Clarendon,25,25,Clarendon,25,2.268302
yes,Girl1_Clarendon_25.jpg,Girl1_Clarendon_50.jpg,Clarendon,Clarendon,25,50,Clarendon,50,3.492633
yes,Ocean_Lark_100.jpg,Ocean_Juno_100.jpg,Lark,Juno,100,100,Lark,100,1.337516
yes,Ocean_Clarendon_75.jpg,Ocean_Juno_100.jpg,Clarendon,Juno,75,100,Clarendon,75,2.28221
yes,Girl1_Lark_50.jpg,Girl1_Juno_100.jpg,Lark,Juno,50,100,Lark,50,1.604087
yes,Girl1_Lark_50.jpg,Girl1_Juno_50.jpg,Lark,Juno,50,50,Lark,50,4.01546
yes,Ocean_Lark_50.jpg,Ocean_Clarendon_100.jpg,Lark,Clarendon,50,100,Clarendon,100,1.191376
yes,Ocean_Clarendon_25.jpg,Ocean_Lark_100.jpg,Clarendon,Lark,25,100,Clarendon,25,1.038515
yes,Girl1_Clarendon_50.jpg,Girl1_Clarendon_75.jpg,Clarendon,Clarendon,50,75,Clarendon,75,3.399862
yes,Girl1_Juno_25.jpg,Girl1_Lark_25.jpg,Juno,Lark,25,25,Lark,25,2.97158
yes,Girl1_Juno_50.jpg,Girl1_Juno_75.jpg,Juno,Juno,50,75,Juno,50,1.125415
yes,Girl1_Clarendon_50.jpg,Girl1_Juno_25.jpg,Clarendon,Juno,50,25,Clarendon,50,1.695664
yes,Ocean_Clarendon_25.jpg,Ocean_OG.jpg,Clarendon,OG,25,0,OG,0,5.730244
yes,Girl1_Clarendon_25.jpg,Girl1_Juno_100.jpg,Clarendon,Juno,25,100,Clarendon,25,2.788977
yes,Ocean_Lark_75.jpg,Ocean_Lark_100.jpg,Lark,Lark,75,100,Lark,75,2.024122
yes,Girl1_Juno_100.jpg,Girl1_Lark_75.jpg,Juno,Lark,100,75,Lark,75,7.582206
yes,Girl1_Lark_50.jpg,Girl1_Lark_100.jpg,Lark,Lark,50,100,Lark,50,4.730486
yes,Girl1_Clarendon_25.jpg,Girl1_Juno_75.jpg,Clarendon,Juno,25,75,Clarendon,25,1.02673
yes,Ocean_Lark_25.jpg,Ocean_Clarendon_50.jpg,Lark,Clarendon,25,50,Clarendon,50,1.812526
yes,Ocean_Clarendon_25.jpg,Ocean_Lark_50.jpg,Clarendon,Lark,25,50,Clarendon,25,3.72251
